"STATEFIP","YEAR","POPULATION","SPHSERVICE","CMPSERVICE","OPISERVICE","RTCSERVICE","IJSSERVICE","Missing","Trauma/Stress-related Disorder","Anxiety Disorder","ADHD","Conduct Disorder","Delirium/Dementia","Bipolar Disorder","Depressive Disorder","Oppositional Defiant Disorder","Pervasive Developmental Disorders","Personality Disorders","Schizophrenia or other Psychotic Disorders","Alcohol/Substance Use Disorders","Other Disorder/Condition","CODE"
"Arizona",2014,158173,289,158019,10033,279,6,26,24135,15762,16395,2722,95,38731,32908,1401,4017,395,18483,91,3012,4
"Arkansas",2014,67641,983,67209,3013,488,4,3428,7656,6133,3670,3059,125,12356,16260,2504,163,157,8390,3,3737,5
"California",2014,697180,10202,659315,27129,8794,43763,6772,71986,49427,23568,23563,2019,110699,169189,14701,6306,3327,122016,37638,55969,6
"Colorado",2014,114721,1790,110647,1,2286,4,1175,22576,10218,6852,2526,190,22503,28983,1843,348,234,12456,2268,2549,8
"Connecticut",2014,91525,1260,90449,535,1546,6,12434,13467,6910,3149,2403,345,14902,20203,1612,1651,512,11226,0,2711,9
"Delaware",2014,10065,522,9644,1343,234,0,973,1125,357,487,196,28,1875,1884,148,42,13,1825,834,278,10
"District of Columbia",2014,25101,822,23726,1462,126,3,2175,1212,497,1255,203,16,3719,9945,178,23,30,4896,637,315,11
"Florida",2014,233512,5150,227461,3868,8178,3123,68336,18589,9593,12187,2106,157,38727,49238,1793,369,250,29048,817,2302,12
"Hawaii",2014,12594,489,12443,162,147,1,706,2320,245,339,325,43,1658,2887,222,37,26,3500,141,145,15
"Idaho",2014,14107,1706,13484,1875,107,5,9641,92,29,64,28,3,523,394,29,12,1050,423,173,1646,16
"Illinois",2014,139699,6553,133144,0,0,5,20,15659,8930,11367,1323,43,30002,43297,2396,45,204,21067,6,5340,17
"Indiana",2014,129167,1198,128444,1244,1829,4,799,11913,9046,14059,7090,136,18515,43830,5877,583,473,14730,0,2116,18
"Iowa",2014,111351,1040,110851,7185,1201,0,26618,19429,9388,14573,3951,284,8405,16762,3401,1469,217,4965,578,1311,19
"Kansas",2014,80991,3388,79374,1072,490,0,29478,6155,5137,6004,2746,132,9719,12202,1718,495,223,5804,0,1178,20
"Kentucky",2014,158086,6510,156283,0,0,1,4280,20240,14433,16176,6457,850,25722,38837,4117,4514,528,11396,4852,5684,21
"Louisiana",2014,45373,1669,43967,1,1,2,1159,1365,1630,3522,455,0,10245,16406,526,247,178,8933,0,707,22
"Maryland",2014,165346,1805,163626,11968,809,6,365,25052,15541,22585,4202,285,33179,42894,2924,63,325,14479,144,3308,24
"Massachusetts",2014,32046,1667,31430,356,145,1,2021,2659,1035,850,72,41,6894,4929,75,188,1575,10842,0,865,25
"Minnesota",2014,205841,1754,204988,18987,2817,18,8973,39250,28571,20054,4154,1964,16082,50858,2638,4744,3295,14810,323,10125,27
"Mississippi",2014,85962,2792,83901,0,5,2,38743,5024,3306,7061,2273,144,6142,11807,3119,351,119,4175,2881,817,28
