"STATEFIP","YEAR","POPULATION","SPHSERVICE","CMPSERVICE","OPISERVICE","RTCSERVICE","IJSSERVICE","Missing","Trauma/Stress-related Disorder","Anxiety Disorder","ADHD","Conduct Disorder","Delirium/Dementia","Bipolar Disorder","Depressive Disorder","Oppositional Defiant Disorder","Pervasive Developmental Disorders","Personality Disorders","Schizophrenia or other Psychotic Disorders","Alcohol/Substance Use Disorders","Other Disorder/Condition","CODE"
"Illinois",2017,71195,4348,66847,1,0,3,393,8831,5785,5799,768,30,11339,19959,1357,18,282,11240,292,5102,17
"Indiana",2017,137628,1084,136980,1594,1824,0,37,11186,12855,14908,5053,67,14439,46897,6662,612,929,15428,1,8554,18
"Iowa",2017,101763,586,100078,17946,1243,5,45963,6670,5592,4883,1907,269,8110,19807,1976,477,207,4796,430,676,19
"Kentucky",2017,155192,6295,153118,2,2,5,1850,21056,17610,13617,3833,706,11020,34300,3743,4426,910,10158,15314,16649,21
"Louisiana",2017,49302,1089,48326,0,0,2,23742,1500,1896,2188,291,17,4235,9097,378,172,91,4962,0,733,22
"Maine",2017,49502,3,45029,1,4471,213,30647,3886,2881,354,5,2,3829,6220,8,103,16,1301,136,114,23
"Maryland",2017,201718,1649,199997,15186,656,3,1389,31136,27138,27773,3917,349,24843,52948,3375,34,383,15868,48,12517,24
"Massachusetts",2017,31659,1604,30977,608,141,0,18486,1776,971,400,24,25,2062,2916,50,104,2,3721,0,1122,25
"Michigan",2017,177289,388,173324,3764,1017,504,6291,12106,9652,9149,1950,547,22551,38175,3967,9717,961,25710,1730,34783,26
"Minnesota",2017,270651,2200,268902,22798,3307,19,25479,52900,58572,25165,3528,81,11982,48280,4120,74,5902,15314,36,19218,27
"Mississippi",2017,73867,2463,72206,0,232,1,11987,5742,4384,10599,2339,121,6692,14936,3817,560,279,7563,2396,2452,28
"Missouri",2017,77497,1573,76172,194,94,40,3476,2510,9169,6835,317,0,14105,22256,1694,0,755,13563,0,2817,29
"Montana",2017,50515,893,50262,2961,682,458,1241,8784,8958,3364,301,470,3686,10822,2278,1358,364,2790,191,5908,30
"Nebraska",2017,21927,477,19771,3266,110,1,2709,2357,1741,621,81,69,3658,5659,161,68,72,2230,795,1706,31
"Nevada",2017,20535,3183,18402,0,167,0,6286,1725,1618,425,230,39,1126,2185,171,107,519,2042,2820,1242,32
"New Jersey",2017,402469,3492,375834,27999,7170,1689,93610,49257,23409,17268,4320,2481,30519,72340,7822,3517,2481,39567,21535,34343,34
"New Mexico",2017,147669,713,133400,13953,812,14,3614,33835,20188,7835,1166,444,8656,25062,1462,1859,283,6607,25548,11110,35
"New York",2017,58040,8944,52416,1,0,19233,1459,7316,3409,2004,377,73,5005,7431,450,40,4775,19398,0,6303,36
"North Carolina",2017,142665,2434,130742,6580,5334,4,10426,15541,11303,4227,2037,280,23954,44414,3737,3,1490,17546,0,7707,37
"North Dakota",2017,13978,552,13978,2985,194,366,5962,595,922,497,95,31,1057,2144,75,183,108,1349,15,945,38
"Ohio",2017,531703,5457,530080,4,4701,8,98720,81944,57230,48854,12695,431,48193,97173,12708,6057,3058,37067,204,27369,39
"Oklahoma",2017,96368,1616,94620,2728,507,882,11230,12600,9392,3604,957,45,11417,31174,1518,84,103,9803,0,4441,40
"Oregon",2017,126493,1502,125752,4985,2154,3,83,41370,27092,0,0,965,9178,26730,0,0,793,11787,8,8487,41
"Pennsylvania",2017,573439,1936,565856,47743,5998,9,74126,68334,47858,62899,11720,3510,69521,135638,13149,21511,1365,39251,3,24554,42
"Rhode Island",2017,31249,217,31123,0,0,0,6354,3174,2213,1469,456,37,3296,9068,179,165,270,3731,0,837,44
"South Carolina",2017,85754,1872,84928,1,2,203,5265,9103,5645,10216,1975,191,10034,19616,2336,569,721,14774,1664,3645,45
"South Dakota",2017,15726,1200,14688,0,0,0,1009,3542,1365,1210,200,131,1476,3476,253,154,5,1408,21,1476,46
"Tennessee",2017,108269,7627,106794,2283,93,4,44881,5853,6960,2483,545,120,12723,22903,590,275,284,7420,0,3232,47
"Texas",2017,379956,15536,377201,10348,225,6,115710,9826,4503,27435,2019,239,67138,89552,3030,1215,310,50320,0,8659,48
"Utah",2017,55525,567,55062,1989,655,5374,7019,7162,8545,2016,292,286,4040,13856,593,674,694,5305,17,5026,49
"Vermont",2017,30924,0,30889,0,93,1,9907,6747,2507,1540,163,46,1080,3402,208,573,343,1602,1191,1615,50
"Virginia",2017,122624,6396,120751,1,1,1,9044,13108,13534,11420,2312,894,13073,24434,2536,0,3549,16914,2,11804,51
"Washington",2017,107264,2770,100762,13900,197,17,11499,17896,12667,3802,1266,336,9784,26070,1056,196,1298,15780,1887,3727,53
"Wisconsin",2017,65079,4199,63943,1890,1482,4,7687,6531,9358,2513,256,184,5785,10985,332,375,3198,8561,241,9073,55
"Wyoming",2017,17365,247,17015,0,0,503,700,3297,2459,956,350,65,1544,4755,441,180,308,937,0,1373,56
"Puerto Rico",2017,25529,2744,21151,1838,100,0,23862,88,49,262,39,2,93,388,55,17,2,289,269,114,72
"Other Jurisdiction",2017,389,48,355,0,0,0,155,21,9,7,2,2,15,20,0,7,0,87,58,6,99
"Alabama",2018,102424,879,101954,1511,51,0,729,8155,5900,13669,1258,388,11831,27587,1992,863,437,17747,7,11861,1
"Arizona",2018,224773,212,224328,35662,467,1,54911,12659,29586,20587,1697,2,28143,42320,1862,5714,1319,21951,2,4020,4
"Arkansas",2018,74888,831,74436,1530,556,1,15286,10358,7699,1075,2360,171,6044,18416,1279,77,418,6758,0,4947,5
"California",2018,708634,12579,669143,22609,9466,37973,34793,77905,56142,29664,12722,1352,50349,163177,11953,3374,1065,122913,63861,79364,6
"Colorado",2018,150547,1317,144286,2,4946,1,1678,36751,18174,7276,2035,118,15557,39102,1828,425,974,12689,6470,7470,8
"Connecticut",2018,93947,1126,93047,231,1824,4,16062,13686,8015,6462,2136,471,7913,18331,1414,1492,504,10513,1538,5410,9
"Delaware",2018,9889,979,3220,1545,5591,8,1087,612,205,254,56,26,1489,1925,115,26,33,1683,2223,155,10
"District of Columbia",2018,45560,714,45024,22,97,0,9730,2880,1263,2399,410,24,6156,12846,494,23,38,6670,608,2019,11
"Florida",2018,218368,5517,213685,3883,3229,2543,32609,26900,14027,13080,1894,327,26119,53054,1368,522,515,32962,1171,13820,12
"Hawaii",2018,10006,491,9827,263,197,0,909,2401,275,395,164,19,1032,1557,230,21,15,2719,19,250,15
"Idaho",2018,16718,2150,16000,2460,106,3,9051,291,383,218,66,13,1536,2271,187,61,154,1985,1,501,16
"Illinois",2018,66656,3903,62753,0,1,2,419,8808,5655,5127,678,16,10132,18504,1283,23,241,10408,324,5038,17
"Indiana",2018,137357,1087,136703,1449,1655,2,20,11717,13399,14142,4932,52,13811,47504,6540,553,1043,14879,0,8765,18
"Iowa",2018,189347,555,187748,15511,5869,4,15336,29171,35102,25669,2443,386,11833,43078,3171,0,790,10473,0,11895,19
"Kentucky",2018,157732,6413,155650,1,2,8,1507,22991,17771,13404,3336,795,11013,35255,3578,4629,940,10357,16197,15959,21
"Louisiana",2018,39413,1015,38479,0,1,0,16411,1127,1729,1993,196,14,3559,8596,294,184,78,4631,0,601,22
"Maryland",2018,213605,1725,211941,15153,576,8,1695,33563,29106,28739,3749,360,26330,56336,3639,81,498,16321,0,13188,24
"Massachusetts",2018,26383,1672,25570,521,138,0,17134,712,827,318,6,4,1656,1861,27,51,31,3322,0,434,25
"Michigan",2018,231953,391,227554,4470,1199,1028,7250,18463,13504,12032,2563,778,28417,53384,5515,12811,1300,30724,2077,43135,26
"Minnesota",2018,287962,2876,285937,24569,3521,14,18540,59657,61843,23686,3618,579,15009,58737,3829,3454,4578,17509,114,16809,27
"Mississippi",2018,85449,2651,83626,0,619,1,526,7577,6237,13776,2803,174,8854,20202,4181,943,300,10363,6775,2738,28
"Missouri",2018,76409,1557,75040,66,70,33,3281,3028,9068,6764,333,0,12909,22356,1875,0,797,13187,0,2811,29
"Montana",2018,63050,957,62509,3137,788,662,1811,9781,13700,4220,298,612,3754,14030,2241,1394,549,3356,14,7290,30
"Nebraska",2018,24983,603,22727,3351,126,3,4970,2461,1759,720,72,152,3479,5700,197,88,116,2264,824,2181,31
"Nevada",2018,19635,3019,19582,0,139,2,6372,1681,1588,367,258,34,1009,2022,134,100,437,2003,2431,1199,32
"New Jersey",2018,421376,3387,395830,26858,8113,2151,100418,53301,24199,19423,4458,2453,30701,73495,8585,5130,2482,39071,21822,35838,34
"New Mexico",2018,149503,655,148772,9924,67,9,3,25568,20189,7559,861,495,6705,20739,905,2042,230,5555,26529,32123,35
"New York",2018,57929,8743,52602,1,0,19100,1395,7581,3273,1870,353,72,5170,7606,394,20,4587,19328,0,6280,36
"North Carolina",2018,101046,2542,90561,9031,4458,6,10860,11857,8114,2439,1065,166,14036,29500,1859,0,1110,13345,0,6695,37
"North Dakota",2018,13866,196,13866,2981,194,426,6684,505,776,443,86,20,925,1853,59,150,87,1259,0,1019,38
"Ohio",2018,482098,3769,480917,6,3280,11,32914,81606,56358,46031,10883,613,50830,109851,12312,5983,2834,39569,92,32222,39
"Oklahoma",2018,101831,1795,99965,2610,543,989,14314,14598,9959,3580,829,37,10429,32047,1466,133,141,9690,0,4608,40
"Oregon",2018,134743,1454,134304,4512,2027,3,37,42072,25240,7672,421,306,8849,25805,1481,1731,691,11178,1,9259,41
"Pennsylvania",2018,565437,1752,555836,48481,5951,12,77376,73929,53929,60220,10379,3356,53532,129290,12272,11778,1710,38188,1,39477,42
"Rhode Island",2018,30383,224,30251,0,0,0,6484,2153,2869,1576,390,12,3065,8579,213,166,332,3691,0,853,44
"South Carolina",2018,87192,1538,86602,0,1,0,2850,10560,6094,10116,1855,224,10406,20038,2313,612,871,15727,1908,3618,45
"South Dakota",2018,16278,1137,15284,0,1,0,968,3932,1561,1225,177,88,1490,3800,282,153,5,1442,19,1136,46
"Tennessee",2018,117555,7190,116239,2624,0,3,53516,6600,7801,2728,618,111,12099,22283,740,281,479,7146,0,3153,47
"Texas",2018,400154,15906,397448,10557,205,7,131388,10890,5229,28366,1744,322,66509,91996,2852,1262,294,49627,0,9675,48
"Utah",2018,56095,528,55622,1879,732,6185,7765,7026,8432,1859,175,290,4154,14246,521,659,561,5542,22,4843,49
"Vermont",2018,31263,0,31213,0,62,1,2217,7648,2698,1515,137,86,1085,3684,204,1359,355,1640,4871,3764,50
"Virginia",2018,123101,7343,120701,0,0,3,5824,15110,14522,11618,2182,848,13353,25564,2419,0,3579,17107,2,10973,51
"Washington",2018,111458,2572,108081,10878,181,12,9691,20218,15046,4730,1411,372,9294,26027,1078,325,1461,14798,2381,4626,53
"West Virginia",2018,50605,1329,45476,4649,3,5,7621,3657,7411,3302,431,85,5767,12457,1142,288,254,2262,4208,1720,54
"Wisconsin",2018,71193,4380,70137,1950,1445,7,7523,6784,10509,2811,221,254,5713,11226,360,402,6150,9134,127,9979,55
"Wyoming",2018,16256,308,15955,0,0,354,485,2970,2296,862,300,62,1487,4679,395,166,316,939,0,1299,56
"Puerto Rico",2018,2918,444,2086,427,21,0,249,105,101,193,80,4,180,718,62,15,19,670,328,194,72
"Other Jurisdiction",2018,392,50,366,0,0,0,114,8,9,10,3,3,4,16,0,2,0,112,95,16,99
"Alabama",2019,103203,848,102725,1266,63,0,205,6865,5567,10809,953,297,10429,41070,1591,575,320,15119,5,9398,1
"Alaska",2019,11082,0,10715,0,551,0,232,2974,1338,509,130,13,592,2455,296,116,88,921,736,682,2
"Arkansas",2019,76139,765,75693,1540,1567,5,16030,10744,8146,1103,2665,95,5946,17969,1258,102,410,6770,0,4901,5
"California",2019,743036,11575,703235,24099,10376,39537,44561,85048,61634,30534,11963,1352,51323,179374,13180,2797,1104,122932,62841,74393,6
"Colorado",2019,137279,1356,131831,2,4092,2,1871,33597,16795,6384,1762,89,14289,35430,1418,390,952,11820,5895,6587,8
"Connecticut",2019,94199,1200,93274,143,1621,2,48470,5250,4452,746,182,344,7345,13137,112,466,437,10268,255,2735,9
"Delaware",2019,14032,916,9442,1793,4824,10,3565,799,414,362,46,30,1586,2484,157,53,46,1816,2241,433,10
"District of Columbia",2019,45189,670,44631,21,114,1,8601,2935,1327,2253,372,28,6174,13117,418,50,44,6495,1494,1881,11
"Florida",2019,204076,4558,189245,29100,3505,13,29746,28627,14071,10385,1921,318,23087,52239,1278,553,436,25758,1091,14566,12
"Hawaii",2019,9905,530,9684,279,87,17,1303,2164,184,231,132,55,820,1810,221,21,30,2698,13,223,15
"Idaho",2019,17465,2160,16753,2512,88,1,10044,296,354,225,60,13,1441,2271,174,59,150,1930,0,448,16
"Illinois",2019,45670,3591,42079,0,0,2,228,6108,3586,3106,396,21,7011,11574,711,24,184,8721,294,3706,17
"Indiana",2019,139126,1111,138398,3866,1407,4,290,15709,20934,14735,5584,53,12182,36573,7163,608,1694,14058,1560,7983,18
"Iowa",2019,263112,2013,257829,18698,13569,131,59932,31304,52625,27491,2610,505,11056,48443,3944,0,1292,10378,0,13532,19
"Kentucky",2019,165999,6264,163914,1,2,3,1214,24232,17003,12997,3133,455,10333,33868,3351,4721,905,10101,25851,17835,21
"Louisiana",2019,36271,1041,35283,0,0,0,15938,1020,1531,1798,140,19,3235,7189,231,197,65,4358,0,550,22
"Maryland",2019,226003,1788,224311,14639,593,6,2108,36052,31728,29767,3453,312,27251,60594,3646,157,532,16460,0,13943,24
"Massachusetts",2019,26275,1997,25933,466,79,1,17718,649,727,291,1,3,1504,1660,26,57,27,3219,0,393,25
"Michigan",2019,244168,353,236875,7446,991,2854,10774,22538,14884,12401,2521,838,28631,56600,5622,13576,1724,30725,1911,41423,26
"Minnesota",2019,287670,2466,285429,22271,3799,13,26026,59631,69170,24705,3062,70,11510,50294,3539,12,5010,15929,6,18706,27
"Mississippi",2019,87406,2649,85471,2,563,3,522,7869,6773,13845,2674,174,8781,20482,3915,1078,364,10567,6792,3570,28
"Missouri",2019,80771,1538,79411,90,59,39,3808,3888,9819,7214,322,0,12842,23512,2066,0,954,13310,0,3036,29
"Montana",2019,71770,846,71277,3327,804,502,1009,10009,19413,3889,152,741,4807,17284,2065,1518,528,3250,7,7098,30
"Nebraska",2019,26280,638,24413,2937,215,2,5652,2488,1934,696,75,181,3323,6038,194,102,128,2390,806,2273,31
"Nevada",2019,18937,2638,18889,1,124,1,5995,1629,1734,352,263,27,949,1885,122,99,390,2018,2285,1189,32
"New Jersey",2019,427465,3133,401919,26638,8423,2241,106786,54542,24589,19376,4305,2436,30150,73431,8620,5342,2483,38155,21800,35450,34
"New Mexico",2019,203037,570,202022,12846,5,1,20,36934,30119,8977,1080,752,8395,28317,1051,2556,301,7011,38153,39371,35
"New York",2019,57523,8434,52254,1,1,19149,1341,8131,3166,1915,283,59,4990,7632,356,16,4502,18971,0,6161,36
"North Carolina",2019,107091,2405,95112,10504,4703,4,9344,13786,8975,2386,1103,141,15084,32298,1760,0,1202,13855,1,7156,37
"North Dakota",2019,15143,978,14761,1181,496,310,6204,1064,1308,580,140,46,865,2303,82,227,187,1319,0,818,38
"Ohio",2019,579276,6121,577566,6,2174,12,4800,113704,77825,54954,13068,634,61548,142395,15117,6896,3388,45127,67,39753,39
"Oklahoma",2019,106638,1692,104984,2601,480,863,14686,15879,10399,3679,702,28,10210,33711,1497,431,129,9948,1,5338,40
"Oregon",2019,142930,1563,142276,4875,2068,5,1630,48354,30829,33,11,764,9239,29497,5,25,950,11544,1,10048,41
"Pennsylvania",2019,586913,2117,578786,46267,5195,9,82982,81901,59574,60524,10800,2944,52983,130778,12221,9240,1697,38102,1,43166,42
"Rhode Island",2019,32563,224,32445,0,0,0,3432,3194,3802,1893,423,19,3472,10475,236,193,354,3950,1,1119,44
"South Carolina",2019,99514,1566,99021,0,1,0,4660,13265,7352,10730,2310,201,11384,23100,2501,698,1088,16491,1978,3756,45
"South Dakota",2019,16207,1202,15145,0,0,0,1059,4069,1587,1145,175,77,1429,3819,295,120,5,1379,19,1029,46
"Tennessee",2019,112426,6758,111003,2582,80,3,47232,8085,8467,2887,725,81,10961,22698,680,281,397,6780,0,3152,47
"Texas",2019,416338,16349,413717,10602,224,6,135224,11299,5325,28135,1493,344,71024,98157,2703,1202,217,51796,0,9419,48
"Utah",2019,56224,563,55709,1949,707,6497,7740,6897,8442,1589,191,294,4175,14602,428,665,461,5656,21,5063,49
"Vermont",2019,31333,0,31270,0,80,1,2093,7869,2949,1518,135,63,1110,3804,200,1368,351,1686,4496,3691,50
"Virginia",2019,126089,7723,123482,1,1,1,5307,16105,15008,12005,2044,846,13753,26805,2435,0,3363,17637,5,10776,51
"Washington",2019,161448,2601,158874,8312,196,7,10544,30082,27378,9918,2195,639,10683,34220,1450,1135,1422,16225,6659,8898,53
"Wisconsin",2019,74279,6932,72366,1595,1545,5,7744,6700,11084,2945,180,410,5669,11107,396,459,7276,9426,76,10807,55
"Wyoming",2019,16710,242,16425,0,0,341,451,3042,2648,847,210,52,1525,4785,337,183,290,964,0,1376,56
"Puerto Rico",2019,3947,523,3027,506,33,0,365,109,114,270,98,10,227,749,88,16,26,1274,381,220,72
"Other Jurisdiction",2019,526,54,493,0,0,0,129,34,19,42,1,1,18,32,2,13,2,95,116,22,99
"Alabama",2020,97527,734,97096,1164,51,0,54,8405,6667,13161,1188,267,11427,28710,1996,429,403,17352,4,7464,1
"Alaska",2020,10337,0,10023,0,476,0,135,3098,1334,427,96,18,507,2397,205,93,78,640,680,629,2
"Arizona",2020,384334,217,384116,5081,4,1800,34034,58492,50366,25955,2321,3477,26344,55750,1554,13198,1576,24800,46705,39762,4
"Arkansas",2020,77552,593,76556,1118,1130,2,3941,12098,9585,2795,3082,71,6851,19271,1582,142,390,8542,4177,5025,5
"California",2020,679596,10356,646002,21049,8333,30699,40258,79788,59926,27350,9178,918,44741,168117,11147,2227,983,105594,59961,69408,6
"Colorado",2020,127969,1161,123190,1,3619,1,1654,32066,16404,5808,1245,48,13307,32962,1044,319,836,11706,5302,5268,8
"Connecticut",2020,86915,1174,86006,104,1550,1,45290,5279,4121,717,142,196,6482,11809,103,452,348,9341,174,2461,9
"Delaware",2020,12230,896,7035,2122,3115,2,1671,637,400,283,30,32,1632,2849,120,47,41,1931,2152,405,10
"District of Columbia",2020,51073,486,50521,22,134,1,15912,2997,1196,2022,364,30,5635,13430,379,35,49,6244,1241,1539,11
"Florida",2020,282228,3850,255032,42212,3535,12,37988,42532,20455,13630,2678,406,31329,75167,1803,750,666,34452,527,19845,12
"Georgia",2020,140661,0,137103,5625,571,2,4,11173,9085,6735,542,19,21660,33839,834,69,333,26903,11377,18088,13
"Hawaii",2020,10014,433,10006,230,111,1,3931,829,212,280,137,42,576,1116,262,11,21,2291,66,240,15
"Idaho",2020,16364,2190,15556,2519,88,3,9282,291,331,269,69,4,1325,2074,190,61,102,1914,0,452,16
"Illinois",2020,39500,3198,36302,0,0,0,233,5762,3526,2691,357,21,5688,9709,627,37,161,7447,236,3005,17
"Indiana",2020,138697,1098,137963,899,909,1,792,16888,22929,13716,5867,24,11804,37259,6496,536,1544,13065,1,7776,18
"Iowa",2020,236041,283,227193,26270,15702,12,179303,2415,15370,4848,641,326,4916,16844,375,0,395,6237,0,4371,19
"Kansas",2020,146152,1,146151,0,0,0,7038,25108,18948,11501,5190,297,14455,41173,3924,775,654,8121,2320,6648,20
"Kentucky",2020,156223,5021,154312,810,1,5,2369,23577,15975,11792,2648,447,9387,31322,3008,4712,813,9479,24140,16554,21
"Louisiana",2020,35891,994,34927,0,16,1,18365,1028,1458,1390,130,13,2937,5913,141,188,54,3779,0,495,22
"Massachusetts",2020,24755,1302,24508,812,133,1,17857,462,478,143,1,3,1270,1217,12,43,25,2955,0,289,25
"Michigan",2020,224250,307,216676,8459,1062,3643,16480,19632,13002,11294,2049,656,25457,47407,4745,14081,1986,29636,1411,36414,26
"Minnesota",2020,318448,3470,315823,25156,4106,18,33847,64804,77003,25836,2763,91,12564,55185,3221,71,6430,17743,27,18863,27
"Mississippi",2020,102061,9395,95885,267,449,3,600,9346,8196,15928,2716,191,10156,23612,4434,1334,411,13475,6415,5247,28
"Missouri",2020,82117,1529,80740,1,48,43,6349,4670,9947,6783,272,0,12140,23430,2023,0,946,12670,0,2887,29
"Montana",2020,74413,843,73501,2434,696,612,1173,10270,22278,4300,141,814,4647,17264,1872,1800,496,3205,95,6058,30
"Nebraska",2020,29728,2793,26867,2966,200,6,7747,2752,1995,661,119,398,3322,5975,151,103,194,2526,989,2796,31
"Nevada",2020,16416,2445,15347,0,27,1,3380,1498,1634,354,203,25,1069,2186,91,94,309,2281,1593,1699,32
"New Jersey",2020,415832,2829,396759,17741,8412,2037,99844,54712,24582,20236,4192,2385,29268,72165,7827,4739,2515,36545,21747,35075,34
"New Mexico",2020,179627,524,178983,9696,1833,12,22,34435,29651,8672,1008,658,6759,25546,922,2818,261,5241,27177,36457,35
"New York",2020,55997,8027,50967,0,0,18629,1157,8693,3075,1868,239,52,4694,7359,287,15,4271,18718,0,5569,36
"North Carolina",2020,109011,2066,94484,13160,4989,7,9184,14325,9276,2044,1023,107,15283,33245,1741,0,1265,14039,0,7479,37
"North Dakota",2020,14382,690,14091,346,1562,514,5041,1338,1398,536,120,48,866,2337,91,257,208,1346,0,796,38
"Ohio",2020,515398,5068,513577,16,1862,6,86376,83096,61936,40729,7654,388,48804,104648,10265,5037,2538,36777,287,26863,39
"Oklahoma",2020,109073,1571,107476,2436,416,819,14264,16411,11924,3711,594,22,10027,34522,1423,467,164,9987,1,5556,40
"Oregon",2020,145434,1502,144615,5253,1994,4,85,42378,31344,8784,471,443,8685,27416,1232,701,1104,11235,4,11552,41
"Pennsylvania",2020,603630,2330,595783,46282,5448,13,89171,84896,67188,61058,10021,2779,54418,132628,11438,6188,2143,39332,0,42370,42
"Rhode Island",2020,32645,209,32525,0,0,0,3279,3313,3722,1949,381,16,3484,10646,239,193,374,3993,1,1055,44
"South Carolina",2020,99755,1332,99297,0,0,0,4492,14379,7944,10371,2413,217,11149,22732,2342,726,1066,16492,1688,3744,45
"South Dakota",2020,15806,1129,14792,0,0,0,1017,4098,1646,1099,159,50,1334,3571,246,106,6,1340,17,1117,46
"Tennessee",2020,98452,6819,96990,2662,97,1,35633,8391,8422,2399,635,60,10556,21732,463,245,459,6670,0,2787,47
"Texas",2020,415350,16360,413128,10893,198,9,131577,11416,5822,27197,1256,302,71449,101563,2385,1170,175,51948,0,9090,48
"Utah",2020,57456,561,56914,1945,664,5862,7123,7135,9122,1446,134,273,4369,15485,357,613,410,5821,17,5151,49
"Vermont",2020,27451,0,27430,1,156,0,2511,7750,2961,1400,122,51,1046,3667,187,1360,302,1632,1005,3457,50
"Virginia",2020,128670,7270,126069,0,0,7,5689,17026,16142,11701,1929,900,13897,27506,2288,0,3360,17636,4,10592,51
"Washington",2020,238447,2235,237136,3114,220,5,24434,40848,43011,15097,2610,796,12430,43931,1655,2205,1454,17068,16083,16825,53
"Wisconsin",2020,75905,6514,74178,1207,1471,4,7259,6747,12527,2848,215,341,5485,11720,404,505,7928,9429,77,10420,55
"Wyoming",2020,16169,244,15904,0,0,296,404,2804,2562,796,200,51,1489,4855,244,178,307,1013,0,1266,56
"Puerto Rico",2020,3126,105,2328,340,726,2,176,62,89,146,41,9,200,517,34,9,21,1364,264,194,72
"Other Jurisdiction",2020,594,73,550,0,0,0,160,48,27,27,1,4,32,36,1,8,3,139,88,20,99
"Alabama",2021,94898,715,94468,1033,43,2,248,8099,7360,12286,1145,217,11402,28652,1885,36,332,17327,7,5902,1
"Alaska",2021,9636,0,9435,0,355,1,97,2845,1332,387,82,16,419,2185,146,84,69,551,807,616,2
"Arizona",2021,405709,212,405497,2760,3,8,24455,65631,61006,26123,2229,3408,26880,63260,1310,13438,1693,26381,47545,42350,4
"Arkansas",2021,76483,614,75652,948,964,0,3670,12674,9357,3171,2586,62,6696,18791,1350,160,379,8654,4320,4613,5
"California",2021,651426,9582,620941,19504,7665,28628,77937,75520,58838,25089,7284,758,39002,146604,9571,2069,881,93026,55693,59154,6
"Colorado",2021,142685,1154,136817,3,4714,0,1910,35070,19531,6308,1051,63,15268,36528,863,349,948,13548,5378,5870,8
"Connecticut",2021,87983,1113,87018,146,1581,4,46645,5255,4378,715,138,219,6193,11745,106,467,312,9089,120,2601,9
"Delaware",2021,15479,876,10154,2112,3841,5,3117,1030,538,539,76,21,1790,3118,240,78,40,2091,2227,574,10
"District of Columbia",2021,70002,752,69129,22,160,0,30965,3582,1456,2129,390,32,6091,15394,380,42,51,6521,1250,1719,11
"Georgia",2021,130414,0,125401,7131,303,9,12,9960,8829,5473,453,15,20614,30368,572,53,321,26409,13919,13416,13
"Hawaii",2021,9496,495,9341,109,101,0,538,2514,247,250,108,24,806,1527,203,9,21,2918,0,331,15
"Idaho",2021,14039,1815,13246,2035,69,1,8775,221,270,237,53,4,826,1357,176,55,59,1604,0,402,16
"Illinois",2021,29688,2734,26954,0,0,3,238,3950,2860,1192,130,11,4676,7090,256,19,156,6630,158,2322,17
"Indiana",2021,142235,1128,141510,524,969,1,760,17570,26351,13099,5158,35,12135,38932,5877,547,1580,12703,1,7487,18
"Iowa",2021,306017,284,301227,16507,18154,15,99810,29878,61212,25357,1808,1095,10923,45914,3174,1986,1341,10270,0,13249,19
"Kansas",2021,61605,0,61604,3,0,1,970,11870,9972,4302,1693,31,5009,18612,1502,174,324,3284,826,3036,20
"Kentucky",2021,146394,4372,144595,1265,3,4,963,22538,16599,10237,1936,371,9476,30733,2342,4576,713,9352,21613,14945,21
"Louisiana",2021,41249,996,40294,0,27,0,21836,1336,2193,1495,168,15,3028,6594,189,195,65,3549,0,586,22
"Maryland",2021,221241,1179,219874,11455,405,0,217,35814,35560,26628,2629,13,27306,60903,2734,10,571,15788,39,13029,24
"Massachusetts",2021,24382,1426,24027,314,131,0,13245,885,957,229,9,5,2083,2217,12,64,79,4126,0,471,25
"Michigan",2021,288128,384,276826,9864,1228,4073,16804,27829,16892,14296,2794,930,33030,66866,6171,17030,2247,36844,1401,44994,26
"Minnesota",2021,312825,3558,310074,23373,4263,20,35059,63128,79940,25539,2147,56,11729,51571,2676,79,6353,17333,35,17180,27
"Mississippi",2021,95785,2003,93634,1674,441,4,641,9032,8312,14113,2318,169,8981,21729,3979,1235,366,13176,5215,6519,28
"Missouri",2021,82407,1530,81027,1,47,26,2112,5113,7541,3685,101,44,12552,30229,760,0,357,16552,243,3118,29
"Montana",2021,71754,908,71124,2526,688,855,594,10979,23434,5021,178,456,4348,17326,1595,64,202,2665,21,4871,30
"Nebraska",2021,24778,611,23233,2165,134,1,4509,2485,2073,627,62,633,2989,5610,96,83,115,2207,936,2353,31
"Nevada",2021,15937,1978,15881,20,38,16,3981,1231,1189,274,238,17,1060,2134,55,77,145,2476,814,2246,32
"New Hampshire",2021,49091,4258,44834,3633,11,1,6986,9000,5354,1970,429,188,3228,10954,626,596,3181,4000,792,1787,33
"New Jersey",2021,418437,1829,400245,17600,8465,2053,100013,56685,25030,19972,4285,2387,28307,73373,7357,4399,2639,36060,22153,35777,34
"New Mexico",2021,199859,481,199438,13695,275,13,90,36127,34486,8714,856,495,8268,28362,811,3304,284,6575,36756,34731,35
"New York",2021,47269,7010,42682,0,0,13968,572,6553,2597,1580,157,39,4155,6200,207,12,3490,17525,0,4182,36
"North Carolina",2021,101155,1779,85368,14868,4449,5,7439,13377,8813,1701,931,102,14471,29970,1422,0,1133,14407,0,7389,37
"North Dakota",2021,10979,560,10829,381,1412,572,2453,1109,1160,441,90,46,897,2039,84,228,131,1610,0,691,38
"Oklahoma",2021,109149,1379,107564,2340,435,764,11920,18885,13446,3648,530,18,9539,33917,1191,494,191,10045,3,5322,40
